var,size,age,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl,beta_size,beta_size_lcl,beta_size_ucl,beta_age_med,beta_age_lcl,beta_age_ucl
day.below.zero.ground,none,yes,745.9405496707,695.271835694889,805.317453894833,0.0118995690543111,-0.0500332757494755,0.0761788804365817,0,0,0,0.146550061304424,-0.0549279456384541,0.344600406072989
day.snow.cover0,none,yes,741.608697662191,689.92827445515,797.290656743444,-0.118325827214007,-0.181209307015647,-0.0574522587375357,0,0,0,0.160810829305498,-0.0571650630828058,0.379494393476271
day.snow.cover3,none,yes,737.904644209628,686.856937608463,794.51399496316,-0.218594470232497,-0.304590100580716,-0.13512452093973,0,0,0,0.170901084692695,-0.0481625426732505,0.384769037076878
day.snow.cover5,none,yes,739.026503428477,687.800086854745,793.14417298151,-0.269841695186847,-0.373500251821269,-0.167594790023665,0,0,0,0.155862901467476,-0.0507869916639843,0.355569798575386
mean.precip,none,yes,744.997711179061,694.276128564365,803.283675953361,0.0877122050689522,-0.111615880128192,0.296143389554544,0,0,0,0.148137667988689,-0.0624696631093816,0.354897589633174
mean.snow.cover,none,yes,738.444810520621,687.361559793607,795.433129027341,-0.268765639395289,-0.374670662553446,-0.165419023778228,0,0,0,0.159415914772151,-0.0487183777463956,0.365230199878169
mean.temp,none,yes,743.752641692499,692.976477941473,801.394326800802,0.0340362981379604,-0.0131259463942036,0.0825660541727553,0,0,0,0.151902726428427,-0.0464035059749474,0.362797830079648
mean.temp.ground.min,none,yes,745.964839182567,694.094863364664,802.812059535503,0.024239858019672,-0.0257106966866869,0.0739180027405351,0,0,0,0.151326752952704,-0.0589476517228964,0.370622523226314
mean.temp.max,none,yes,742.908644095611,692.398211278365,800.258892633928,0.0361106799084838,-0.0042020558451482,0.0767338455972931,0,0,0,0.153263398189611,-0.0534193102138987,0.367217265188813
mean.temp.min,none,yes,743.648035801431,692.004065119076,798.911116812652,0.033554428990597,-0.0181245471473482,0.0849713547652298,0,0,0,0.155927896013542,-0.0529134357261099,0.366139314412698
total.precip,none,yes,745.007879647003,693.768050391534,802.184809298021,0.00637129665215332,-0.00813305840425615,0.0214098290441492,0,0,0,0.148844338038803,-0.0552988543733636,0.358401426845764
day.below.zero.ground,size,no,746.389373574044,695.220086040723,802.476136838897,0.00757492947867421,-0.0535774194858922,0.0710633014430301,-0.041846330557743,-0.137685736731068,0.0439083387224768,0,0,0
day.snow.cover0,size,no,742.462125539721,691.68413664399,799.305199846802,-0.117512044490754,-0.178061815682059,-0.054899979094885,-0.0424990462649978,-0.136671088197321,0.0433635833061165,0,0,0
day.snow.cover3,size,no,737.450182547352,687.377611241378,794.931371239204,-0.217042638624794,-0.30274188223888,-0.136815025462439,-0.0453003738563357,-0.144701210309854,0.0434142162255255,0,0,0
day.snow.cover5,size,no,738.744277210807,686.528410534999,794.597121899725,-0.269388414190297,-0.373874308131766,-0.167483170203769,-0.0425735791616079,-0.138420359455711,0.0401695703875718,0,0,0
mean.precip,size,no,745.853854348585,694.888854635506,802.633191139844,0.0877684716180487,-0.106811289422762,0.30672399592766,-0.041195481875385,-0.134389174992727,0.0381543820983556,0,0,0
mean.snow.cover,size,no,739.141559400645,686.996638932776,793.259919842322,-0.267252079836111,-0.368586981909685,-0.1643887424014,-0.0431128405402568,-0.137228321508681,0.0400201283818861,0,0,0
mean.temp,size,no,744.188141456685,693.031008080234,798.966808946008,0.0371811351143872,-0.0105953936739921,0.0843330836567107,-0.0414381083383362,-0.138206147922744,0.0442747853615115,0,0,0
mean.temp.ground.min,size,no,746.249915351635,695.833736751372,803.582140608014,0.0244241152944731,-0.0265177627492652,0.0734277872544187,-0.039416890788453,-0.137810511658612,0.0417955588345834,0,0,0
mean.temp.max,size,no,743.600696495631,690.776361742446,801.426494209632,0.0363602712584378,-0.00424141339783338,0.0761812410469687,-0.0398217247907173,-0.126304895267136,0.0433459982761284,0,0,0
mean.temp.min,size,no,745.427275314762,693.743716787132,803.167481656838,0.0331656234782097,-0.0185170567655445,0.0854551855318912,-0.0410708364967312,-0.140691618720267,0.0435444067932819,0,0,0
total.precip,size,no,745.172009494505,694.904559625871,803.680399969311,0.00649481620755143,-0.00737756701544253,0.0213188835410411,-0.0412660686255262,-0.134399866231625,0.043117646518335,0,0,0
day.below.zero.ground,mass,no,745.628800815441,693.782663711066,803.757848960752,0.00990122471536405,-0.0509683125908769,0.0730401051580559,0.00222196539147382,-0.0144253077362288,0.0186887207396264,0,0,0
day.snow.cover0,mass,no,741.430878605606,691.614358653869,799.361410299701,-0.11621283784015,-0.179956729504845,-0.0546166767940952,0.00165646570779664,-0.015252439243814,0.0186807414460563,0,0,0
day.snow.cover3,mass,no,736.815662144756,685.423438818781,793.017265397169,-0.216863144214254,-0.298700464406759,-0.13742005466892,0.00119270100290743,-0.0159121263816495,0.017846181795928,0,0,0
day.snow.cover5,mass,no,739.639029183789,689.088603179955,797.160192887177,-0.268628829450594,-0.37577077052101,-0.16618260349565,0.00122863233514454,-0.0157250312541204,0.018423344807238,0,0,0
mean.precip,mass,no,745.029742470288,694.319498836761,803.265481248413,0.0853713068063443,-0.109904272783403,0.299782020273884,0.00230510543743335,-0.0147013323096405,0.0185018695429546,0,0,0
mean.snow.cover,mass,no,738.386929968018,687.683173845203,794.045875767106,-0.268558981756992,-0.373388397973594,-0.166546430471149,0.0015757815134332,-0.0154897626588793,0.0185076768408965,0,0,0
mean.temp,mass,no,744.689819562825,692.414030844504,802.858268192929,0.0348114375420287,-0.0125367933939429,0.0800177328866053,0.00227296128169104,-0.0148159880873126,0.0193691788906721,0,0,0
