var,feeding,size,age,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl,beta_size,beta_size_lcl,beta_size_ucl,beta_age_med,beta_age_lcl,beta_age_ucl,beta_feed,beta_feed_lcl,beta_feed_ucl,DIC
mean.temp.max,yes,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.min,yes,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
total.precip,yes,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.below.zero.ground,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover0,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover3,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover5,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.precip,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.snow.cover,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.ground.min,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.max,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.min,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
total.precip,no,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.below.zero.ground,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover0,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover3,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover5,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.precip,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.snow.cover,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.ground.min,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.max,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.min,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
total.precip,yes,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.below.zero.ground,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover0,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover3,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover5,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.precip,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.snow.cover,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.ground.min,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.max,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.min,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
total.precip,no,size,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.below.zero.ground,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover0,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover3,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover5,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.precip,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.snow.cover,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
