var,size,age,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl,beta_size,beta_size_lcl,beta_size_ucl,beta_age_med,beta_age_lcl,beta_age_ucl
day.below.zero.ground,size,yes,751.505551084406,700.677631188404,808.411525165126,-0.0938168153215447,-0.317103171713792,-0.00441578828075073,-0.0263806865449096,-0.121636514082726,0.063805915364968,0.13707893405344,-0.0759013735748936,0.348469669997426
day.snow.cover0,size,yes,747.798748936352,696.31587170889,804.606170104027,-0.419057740326289,-0.647636700833948,-0.186249735653376,-0.0269293076884529,-0.12665200600206,0.0662615044577987,0.143678483215398,-0.0706196717738234,0.360052945400288
day.snow.cover3,size,yes,745.153604544797,694.46569276564,803.127958493123,-0.512271280958055,-0.713056423985779,-0.313259604373523,-0.0256714658890358,-0.123145335341413,0.0625722465619055,0.14817021264194,-0.0555015430935138,0.360069291271111
day.snow.cover5,size,yes,744.393524556776,693.717374272263,800.15460401438,-0.515731814888426,-0.714055427501127,-0.319964475365519,-0.029719677333328,-0.128098368536422,0.0625394331396924,0.149111144219734,-0.0727811023348235,0.361782113614508
mean.precip,size,yes,752.594720391654,700.622960323795,808.428372016366,-0.0548446501609333,-0.193094498302889,-0.00255681841854434,-0.025161175198206,-0.116651869622253,0.0605307989452852,0.133321298796445,-0.0703101870971069,0.339237880764598
mean.snow.cover,size,yes,745.23958933754,694.944286578755,800.284079862821,-0.50102316343848,-0.689451534524773,-0.308567520147445,-0.0279207769504319,-0.123236918392042,0.0641949077876746,0.143516468196702,-0.0702034553767118,0.351774740900212
mean.temp,size,yes,750.228314818802,699.16490685606,805.830528737098,-0.0752045857780686,-0.291062938428864,-0.00320417857038177,-0.0255105101678475,-0.120736254082148,0.0622414045831701,0.134819620607208,-0.0699792217154166,0.334865324983537
mean.temp.ground.min,size,yes,752.496542357605,699.784259389064,808.544694743565,-0.0657096940394927,-0.253270483833935,-0.00308046767381016,-0.0262498431094436,-0.120948762591427,0.0639307636043651,0.131126219126595,-0.0747188356266268,0.336464863868548
mean.temp.max,size,yes,749.866073439681,699.371292896493,807.52759052029,-0.071300515908028,-0.286164564098302,-0.00266254586325121,-0.0253152380698833,-0.120823352955838,0.0650020712372408,0.133046845870917,-0.0743814917353967,0.347501925175347
mean.temp.min,size,yes,752.621922604711,701.096435311782,809.490912758485,-0.0713224192896517,-0.265785152858895,-0.00321548288908867,-0.0253574126870916,-0.11622531603727,0.0582562025086398,0.128368817573009,-0.0741544530727702,0.328255701267959
total.precip,size,yes,752.092873755188,701.835495504381,807.826746088157,-0.0532686831725637,-0.202955663504661,-0.00238489688522755,-0.0251431549482536,-0.117535118857807,0.0642366819117667,0.131592503552453,-0.0745183297143144,0.33657699789613
day.below.zero.ground,mass,yes,752.354440892258,700.018087600054,809.971869982687,-0.0907831209511692,-0.298164803183148,-0.00391347238987407,0.00436446212173526,-0.0122315267890641,0.0207546874988592,0.141852652242892,-0.0618895411041563,0.350218632106785
