season,0_mild,0_harsh,1_mild,1_harsh
1,59.909537119995,55.7449909802832,43.8806850894397,39.7262611532152
2,20.2325060239546,18.8260654318667,28.321807617602,25.6404275241989
3,11.0667355385745,20.0635733438121,15.4914054891319,27.3258690224075
4,8.79122131747595,5.36537024403804,12.3061018038264,7.30744230017849
Total,100,100,100,100
